,PDAIEUR LX Equity,EXCRISA LX Equity,LUMNUDE LX Equity
2021-12-31,0.01600791655991794,0.12457150941084429,0.039637519055171946
2022-01-04,0.013854500335283768,0.12586634753331283,
2022-01-05,0.017094709447489406,0.12644852235887,0.04025004324500087
2022-01-06,0.021584252884476147,0.12011626658905977,0.03284267891014531
2022-01-07,0.02359875565518373,0.11810963522418855,0.03295802701452367
2022-01-11,0.022850003563398415,0.11991167023939514,0.030553211782874887
2022-01-12,0.02264242160919327,0.12003473331101638,0.02650148071015538
2022-01-13,0.0233144019037427,0.11967102602959226,0.02888175257225223
2022-01-14,0.022650677366737867,0.11484081877356879,0.025513184837764602
2022-01-18,0.023298039026254127,0.11611028263410397,0.02611168116790257
2022-01-19,0.023136226024724718,0.11974498059469738,0.030872016721890053
2022-01-20,0.02257720863126957,0.12132693021445734,0.028413201013776236
2022-01-21,0.022216822435479882,0.12872339988262763,0.03237232785091802
2022-01-25,0.021020512263306663,0.12928482836660074,0.03152132636912272
2022-01-26,0.02344960599703242,0.13491732895653447,0.034578358825677905
2022-01-27,0.025750170606482357,0.13632026190453297,0.04130585258198284
2022-01-28,0.028709372603931634,0.13844542458985964,0.038095394134660246
2022-02-01,0.02817458235860724,0.15009930119265263,0.038232623723969995
2022-02-02,0.028263062924539895,0.14669327061214937,0.03192092329380006
2022-02-03,0.032038789066930355,0.13264454488944175,0.019502240937108985
2022-02-04,0.03293550292104937,0.13410852925492836,0.02228217917729402
2022-02-08,0.03917980931995403,0.13334473354220086,0.020373897889528463
2022-02-09,0.04013599394306359,0.13070213247393656,0.018233844246114732
2022-02-10,0.03399229392601724,0.12766734356816412,0.017465774341873932
2022-02-11,0.03766616942792704,0.12552971914332758,0.0199518426523711
2022-02-15,0.03575117109410058,0.11856449756736155,0.02111939795980975
2022-02-16,0.03312634107603437,0.11904610645410198,0.020808307747699758
2022-02-17,0.03376967338244174,0.11922738115383948,0.025728709919392655
2022-02-18,0.016667405756996365,0.12255880627792452,0.02518189600226868
2022-02-22,0.014646755225507926,0.12156750925556482,0.02506514409183777
2022-02-23,0.01289505490165033,0.12227328258426401,0.024122541023549285
2022-02-24,0.01740305282597653,0.12974824331079973,0.02563923562845414
